cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,1,,1
1,company_name,varchar,1,,0
2,address,TEXT,0,,0
3,phone,varchar,0,,0
4,mobile,varchar,0,,0
5,fax,varchar,0,,0
6,email,varchar,0,,0
7,website,varchar,0,,0
8,logo,varchar,0,,0
9,twitter,varchar,0,,0
10,instagram,varchar,0,,0
11,linkedin,varchar,0,,0
12,youtube,varchar,0,,0
13,tiktok,varchar,0,,0
14,facebook,varchar,0,,0
15,line,varchar,0,,0
16,tax_id,varchar,0,,0
17,contact_person,varchar,0,,0
18,created_at,datetime,0,,0
19,updated_at,datetime,0,,0
20,branch,INTEGER,1,'1',0
21,branch_description,varchar,1,'สำนักงานใหญ่',0
